Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Log_Loan_Amount,EMI,EMI_to_Income_Ratio
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,5849.0,4.859812404361672,0.35555545679015094,0.0007294690726823259
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,4.859812404361672,0.35555545679015094,0.0007004867248231394
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,4.204692619390966,0.18333328240742156,0.0007333328362965517
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,4.795790545596741,0.3333332407407665,0.000809552300632754
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,4.955827057601261,0.3916665578704006,0.0007833329590742095
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,5.5909869805108565,0.7416664606482054,0.0009258292329952549
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,4.564348191467836,0.2638888155864401,0.0008227240321559998
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,5.0689042022202315,0.4388887669753425,0.0009506613831968322
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,5.1298987149230735,0.46666653703707306,0.0010122916178045799
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,5.857933154483459,0.9694441751543958,0.0004886105890848017
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,4.2626798770413155,0.19444439043211378,0.0005982902480095047
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,4.700480365792417,0.3027776936728629,0.0008371731150844739
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,5.303304908059076,0.5555554012346108,0.000596356033561865
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,4.74493212836325,0.31666657870372816,0.0008097161672246618
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,2.8903717578961645,0.14166654861120948,0.0007127873073332264
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,4.836281906951478,0.34722212577163175,0.0008417504038705245
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,3596.0,4.61512051684126,0.41666649305562786,0.001390432772010069
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,4.343805421853684,0.2111110524691521,0.0007217469411776342
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,4.897839799950911,0.3694443418210162,0.0009071682040618682
Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,4.7535901911063645,0.3194443557099012,0.0006284150023640675
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,4.653960350157523,0.2888888086419976,0.00045256725334507405
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,5.755742213586912,0.874999756944512,0.0009067354054621467
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,4.762173934797756,0.32222213271607425,0.0008571635034353108
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,4.727387818712341,0.3111110246913821,0.0007068026217594546
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,5.0238805208462765,0.41944432793213116,0.0007578035269228156
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,5.2574953720277815,0.5305554081790533,0.0006659690480110652
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,4.812184355372417,0.33888879475311257,0.0008049613165248954
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,4.709530201312334,0.30555547067903593,0.0006962903176224934
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,3.58351893845611,0.09722219521605689,0.0008090605906518543
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,4.795790545596741,0.3333332407407665,0.0006857531400626488
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,7535.0,5.308267697401205,0.5583331782407839,0.0008891834202878968
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,4.31748811353631,0.20555549845680599,0.0007788648711221429
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4692.0,4.672828834461906,0.2944443626543437,0.0007530544433475688
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,4.74493212836325,0.31666657870372816,0.0007354360483687788
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,5.771441123130016,0.8888886419753773,0.0006881717985740884
Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,4342.0,4.859812404361672,0.35555545679015094,0.0009826495399130272
Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,3158.0,4.61512051684126,0.2777777006173054,0.0010555196772590412
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,4.976733742420574,0.3999998888889198,0.0009364021738167049
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,5.220355825078324,0.511110969135842,0.0005391465350434478
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,4.709530201312334,0.30555547067903593,0.0006770060627291647
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,4.394449154672439,0.22222216049384433,0.0007407402880660518
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,3.871201010907891,0.13055551929013354,0.0005199686715961488
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,2400.0,4.330733340286331,0.20833327546297906,0.001041665856481967
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,4.90527477843843,0.37222211882718925,0.0007115922529895758
Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,4695.0,4.574710978503383,0.26666659259261316,0.000681575781303604
Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,3410.0,4.48863636973214,0.24444437654322876,0.000860214512100097
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,5649.0,3.8066624897703196,0.12222218827161438,0.000259632846114349
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,5821.0,4.976733742420574,0.3999998888889198,0.0008246001850449778
Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,6085.0,4.795790545596741,0.3333332407407665,0.0006573538373154631
Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,4.976733742420574,0.3999998888889198,0.0007649398802771605
Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,4.61512051684126,0.2777777006173054,0.000933183451172319
Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,4.795790545596741,0.3333332407407665,0.0012961754159036612
Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,4.727387818712341,0.3111110246913821,0.0008825842168310934
Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,4616.0,4.90527477843843,0.37222211882718925,0.0009676482375971374
Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,11500.0,5.659482215759621,0.7944442237654935,0.0008289851904698864
Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,3875.0,4.584967478670572,0.26944436959878626,0.000834408111973084
Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,3723.0,4.574710978503383,0.26666659259261316,0.0008595213751506065
Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,5566.0,4.912654885736052,0.3749998958333623,0.000808479658610269
Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,10330.0,5.198497031265826,0.49999986111114975,0.0005808322978059089
Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,6216.0,4.976733742420574,0.3999998888889198,0.0007722004086271794
Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,4.795790545596741,0.3333332407407665,0.0006353237176780078
Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,3029.0,4.605170185988092,0.27499992361113235,0.0010894677371978553
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,6058.0,5.111987788356544,0.9166661574076903,0.001815779417292338
Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,N,4945.0,4.859812404361672,0.35555545679015094,0.0008628239526982949
Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,4166.0,4.762173934797756,0.32222213271607425,0.0009281479785922508
Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,10321.0,5.556828061699537,0.716666467592648,0.0008332522634637205
Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,5454.0,4.844187086458591,0.6999996111113271,0.0015401528208933886
Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,10750.0,5.746203190540153,0.8666664259259929,0.0009674414837378729
Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,7100.0,4.836281906951478,2.083329861116898,0.0035211202969096375
Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,4300.0,4.919980925828125,0.37777767283953534,0.0010542629788276396
